medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
E9A3CD6DAA7E1987F9779BAA22590D81,D54CF7377B7073E28919E82DAA073F7A,VTS,2013/01/13 4:31,CSH,7.5,0.5,0.5,0,0,8.5
27326B9D714EA6D0EFAA5AF77BFFFFFC,51875E70A658454BE283034D7A303E9A,VTS,2013/01/13 4:27,CSH,16.5,0.5,0.5,0,0,17.5
282E88327FA32E0C655B1216A91125A6,7152AE0408719E98C7A42D7B8E9BFB38,VTS,2013/01/13 4:24,CSH,17,0.5,0.5,0,0,18
99274EDFA48DDA7B024A6B8BCA19EAE0,F1F0BF6913FAE17744D8B8B1FAEA5363,VTS,2013/01/13 4:34,CRD,9.5,0.5,0.5,1,0,11.5
06808F2B069EBFA72B16977B7C4672C4,8579ECF890502494F66C689A15167D70,VTS,2013/01/13 4:25,CSH,23,0.5,0.5,0,0,24
4E9B67DAEEF658D1B17E3B00A8A2EA71,BA1AD6CBEFF4D0678663F7C5A2BCC024,VTS,2013/01/13 4:24,CSH,32,0.5,0.5,0,0,33
0E2EF8AC28760F9B39CCB8C23CE45EDD,CD4552C5E94D26AAB8D275B49A8EDC73,VTS,2013/01/13 4:29,CRD,17.5,0.5,0.5,0,0,18.5
60DC999A38D953EE86AB81C23C9480E8,30740349F4E666629D6D51C2B5CA5BBE,VTS,2013/01/13 4:30,CSH,14,0.5,0.5,0,0,15
E0600C169DAB1E5E301DFF249E5C6ACA,D5E2ACFD0B693A70DCA0C89A8BA88A59,VTS,2013/01/13 4:22,CSH,25.5,0.5,0.5,0,0,26.5
BDC69EC6520DC5DC23EFF840507721E6,00711D0CC3FB5BC905BB62D9B62296D6,VTS,2013/01/13 4:28,CRD,29,0.5,0.5,5.9,0,35.9
A2B97CECFEA4C8DE45D8FC251E80AF1D,68AE01DDBDEDDFF772905561744A1072,VTS,2013/01/13 4:36,CRD,11,0.5,0.5,2.3,0,14.3
8D6F8CB4DA080C3726BE8D3996254986,14A088229C693E1B173BE3C33873F448,VTS,2013/01/13 4:26,CRD,15.5,0.5,0.5,3.2,0,19.7
D111EEC901448CEE65D1DF98F4E3CE10,8962F17FAA0A29BF05C4660AA4F4E514,VTS,2013/01/13 4:25,CRD,16,0.5,0.5,3.3,0,20.3
C01368C76C8DEFA6C678CF0D54AE87F0,62A632004381731C09D581B4E9176D4D,VTS,2013/01/13 4:04,CSH,38.5,0.5,0.5,0,0,39.5
3A00BD8BD96A8EFF2BFE18FE274D8A2D,ABC926370E8515A8263F96D2F4E0218E,VTS,2013/01/13 4:42,CRD,7.5,0.5,0.5,1.6,0,10.1
8267EEDE67893576299519F9710169F0,C0E52DAF740487E01B76582CDD1080D6,VTS,2013/01/13 4:39,CSH,6,0.5,0.5,0,0,7
E097412FE23295A691BEEE56F28FB9E2,D5AA0CEA2DB7D2F3C8C2A49FA629769A,VTS,2013/01/13 4:34,CRD,8.5,0.5,0.5,1,0,10.5
A6ECECBAC944333366E2F759845B1639,B7A0F269A0A9AD6EF35B985D315C4AA2,VTS,2013/01/13 4:36,CRD,8.5,0.5,0.5,1.8,0,11.3
9B980097EE2FD6E015D69136D4CB9215,E3819EEF4E998F4B23629479570C9FC7,VTS,2013/01/13 4:23,CSH,32,0.5,0.5,0,4.8,37.8
6F70DA82F52A1281E4E6646AE996D25A,4103ADCF50D18CFE25AB616F368A5945,VTS,2013/01/13 4:38,CSH,6.5,0.5,0.5,0,0,7.5
A5179D5A72336EEDFDF90C60CAE1EA6F,CF60B7EA381C66092FC1AC19D67B2D30,VTS,2013/01/13 4:40,CRD,4.5,0.5,0.5,1.5,0,7
E6735846B5CECD023E387DBF70DF3E2D,59D6ADB6F50251EE82435F8C96332C31,VTS,2013/01/13 4:30,CSH,16,0.5,0.5,0,0,17
24A4654986C011AE6980FD9566014EDB,C6A6B2BBBEE3B7F5EF8644142B2EC46E,VTS,2013/01/13 4:31,CRD,10,0.5,0.5,1,0,12
